,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
86,Alex Greenwood,eng ENG,DFMF,Liverpool,23,1993,18,18,1606,17.8,2,5,1,1,1,1,0,0.11,0.28,0.39,0.06,0.34,Matches,d935ee5a
87,Louise Griffiths,eng ENG,,Sunderland,,,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d8e049a4
88,Hannah Hampton,eng ENG,GK,Birmingham City,16,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87f3ffa4
89,Natasha Harding,wls WAL,FWMF,Liverpool,28,1989,5,5,450,5.0,4,0,4,0,0,0,0,0.80,0.00,0.80,0.80,0.80,Matches,8d6d0bf1
90,Natasha Harding,wls WAL,DFFW,Reading,28,1989,12,11,957,10.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8d6d0bf1
91,Martha Harris,eng ENG,DF,Liverpool,22,1994,16,11,1029,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5343ce75
92,Kerys Harrop,eng ENG,DF,Birmingham City,26,1990,16,15,1319,14.7,1,1,1,0,0,2,1,0.07,0.07,0.14,0.07,0.14,Matches,c6966699
93,Ann-Marie Heatherson,eng ENG,MFFW,Yeovil Town,33,1984,16,16,1369,15.2,1,0,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,Matches,1b81aa5e
94,Andrine Hegerberg,no NOR,MF,Birmingham City,24,1993,4,3,268,3.0,0,2,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches,4780ee34
95,Lauren Hemp,eng ENG,FWMF,Bristol City,16,2000,18,18,1619,18.0,7,0,6,1,2,3,0,0.39,0.00,0.39,0.33,0.33,Matches,d979e267
96,Josephine Henning,de GER,DF,Arsenal,27,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,07c13045
97,Rachel Hignett,wls WAL,MF,Yeovil Town,21,1995,4,2,157,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,291f837b
98,Taylor Hinds,eng ENG,DFMF,Everton,17,1999,6,4,400,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a760a666
99,Ashley Hodson,eng ENG,MFFW,Liverpool,22,1995,12,5,529,5.9,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,c022ea68
100,Steph Houghton,eng ENG,DF,Manchester City,29,1988,15,15,1335,14.8,2,1,2,0,0,0,0,0.13,0.07,0.20,0.13,0.20,Matches,378ce9a0
101,Marie Hourihan,ie IRL,GK,Manchester City,30,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb40b39b
102,Elise Hughes,wls WAL,MF,Everton,16,2001,6,0,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f38faa55
103,Carla Humphrey,eng ENG,MFFW,Bristol City,20,1996,15,9,782,8.7,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,341633fc
104,Sophie Ingle,wls WAL,DFMF,Liverpool,25,1991,18,18,1620,18.0,0,2,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,64623394
105,Bow Jackson,eng ENG,DFMF,Yeovil Town,,,15,14,1255,13.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdd5e9bb
106,Angharad James,wls WAL,MF,Everton,23,1994,16,13,1196,13.3,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,6444e5a0
107,Lauren James,eng ENG,FW,Arsenal,15,2001,5,0,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6c2ee71
108,Rebecca Jane,eng ENG,DF,Reading,25,1992,6,2,267,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af03972f
109,Dominique Janssen,nl NED,MFDF,Arsenal,22,1995,17,16,1411,15.7,3,0,3,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,800b668b
110,Ali Johnson,eng ENG,MFFW,Liverpool,,,12,5,448,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ba2c39a
111,Abbey Joice,eng ENG,FWMF,Sunderland,,,15,10,938,10.4,1,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,Matches,bf51685a
112,Jessica Jones,eng ENG,MFFW,Yeovil Town,18,1999,11,11,971,10.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,9ab12a6f
113,Chloe Kelly,eng ENG,FWMF,Everton,19,1998,15,13,1163,12.9,3,2,2,1,1,2,0,0.23,0.15,0.39,0.15,0.31,Matches,9ff67bf9
114,Danique Kerkdijk,nl NED,DF,Bristol City,21,1996,18,18,1596,17.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b04bd0b8
115,Fran Kirby,eng ENG,FW,Chelsea,24,1993,17,14,1279,14.2,8,6,8,0,0,0,0,0.56,0.42,0.99,0.56,0.99,Matches,bd91e11f
116,Simona Koren,at AUT,FW,Sunderland,24,1993,5,1,166,1.8,1,0,1,0,0,0,0,0.54,0.00,0.54,0.54,0.54,Matches,6aa02585
