,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
160,Ellen White,eng ENG,FW,Birmingham City,27,1989,4,3,313,3.5,2,0,2,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches,87740aba
161,Fara Williams,eng ENG,MF,Arsenal,33,1984,7,3,297,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8054c3f7
162,Paige Williams,eng ENG,MF,Birmingham City,21,1995,8,6,567,6.3,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches,f49e0ece
163,Rachel Williams,eng ENG,FW,Birmingham City,29,1988,5,3,310,3.4,2,0,2,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches,2fa8aa92
164,Stephanie Williams,wls WAL,MF,Yeovil Town,24,1992,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15bd0b07
165,Victoria Williams,eng ENG,DFMF,Sunderland,26,1990,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd4f768b
166,Leah Williamson,eng ENG,MFDF,Arsenal,19,1997,7,7,621,6.9,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,9a40ae1f
167,Ellie Wilson,eng ENG,DF,Bristol City,19,1997,7,2,218,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0ddf381
168,Poppy Wilson,eng ENG,MFFW,Bristol City,17,1999,2,2,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3dd88b4
169,Sarah Wiltshire,wls WAL,MFFW,Yeovil Town,25,1991,6,3,373,4.1,2,0,1,1,2,0,0,0.48,0.00,0.48,0.24,0.24,Matches,62e8597d
170,Lily Woodham,wls WAL,MFFW,Bristol City,16,2000,4,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,828d664e
171,Lotte Wubben-Moy,eng ENG,DFMF,Arsenal,18,1999,7,7,567,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f254ebd6
172,Katie Zelem,eng ENG,MF,Liverpool,21,1996,7,2,330,3.7,3,0,3,0,0,0,0,0.82,0.00,0.82,0.82,0.82,Matches,213a7877
